CID,source_station,destination,ticket_number,train_no,seat_no,coach_no,journey_date,status,fare
10036,Ahmedabad,Ajmer,9528214292,12957,2,A4,2017-03-21,CNF,1300
10037,Ajmer,Delhi,3282186446,12957,2,A4,2017-03-21,CNF,1200
10038,Ahmedabad,Ajmer,2016322105,12957,3,A4,2017-03-21,CNF,1300
10039,Ajmer,Delhi,7781880353,12957,3,A4,2017-03-21,CNF,1200
10040,Ajmer,Delhi,490916205,12957,4,A4,2017-03-21,CNF,1200
10041,Abu road,Jaipur,2472751751,12957,5,A4,2017-03-21,CNF,1500
10042,Abu road,Ajmer,8895206359,12957,6,A4,2017-03-21,CNF,1000
10043,Ajmer,Delhi,445316273,12957,6,A4,2017-03-21,CNF,1200
10044,Abu road,Jaipur,7008254615,12957,7,A4,2017-03-21,CNF,1500
10045,Ahmedabad,Delhi,9205245274,12957,8,A4,2017-03-21,CNF,2500
10046,Ahmedabad,Delhi,8600437955,12957,9,A4,2017-03-21,CNF,2500
10047,Ahmedabad,Delhi,8546028549,12957,10,A4,2017-03-21,CNF,2500
10048,Ahmedabad,Abu road,4754327375,12957,11,A4,2017-03-21,CNF,300
10049,Abu road,Delhi,7979856603,12957,11,A4,2017-03-21,CNF,2200
10050,Ahmedabad,Ajmer,1647816508,12957,12,A4,2017-03-21,CNF,1300
10051,Ajmer,Delhi,3522766151,12957,12,A4,2017-03-21,CNF,1200
10052,Ahmedabad,Ajmer,2950001392,12957,1,A5,2017-03-21,CNF,1000
10053,Ajmer,Jaipur,4971494518,12957,1,A5,2017-03-21,CNF,400
10054,Abu road,Ajmer,7389615371,12957,2,A5,2017-03-21,CNF,800
10055,Ajmer,Delhi,2839178755,12957,2,A5,2017-03-21,CNF,1000
10056,Ahmedabad,Jaipur,139923523,12957,3,A5,2017-03-21,CNF,1500
10057,Ahmedabad,Jaipur,9416678572,12957,4,A5,2017-03-21,CNF,1500
10058,Ahmedabad,Ajmer,7787428484,12957,5,A5,2017-03-21,CNF,1000
10059,Ahmedabad,Delhi,9960921292,12957,6,A5,2017-03-21,CNF,2000
10060,Ahmedabad,Jaipur,3596605443,12957,7,A5,2017-03-21,CNF,1500
10061,Jaipur,Delhi,6056077973,12957,7,A5,2017-03-21,CNF,600
10062,Ahmedabad,Ajmer,9868486446,12957,8,A5,2017-03-21,CNF,1000
10063,Ajmer,Jaipur,6029317015,12957,8,A5,2017-03-21,CNF,350
10064,Jaipur,Delhi,2112003714,12957,8,A5,2017-03-21,CNF,650
10065,Ahmedabad,Delhi,9331050551,12957,9,A5,2017-03-21,CNF,2000
10066,Ahmedabad,Delhi,1093469754,12957,10,A5,2017-03-21,CNF,2000
10067,Ahmedabad,Delhi,960598754,12957,11,A5,2017-03-21,CNF,2000
10068,Ahmedabad,Delhi,5015802321,12957,12,A5,2017-03-21,CNF,2000
10069,Ahmedabad,Jaipur,9135061699,12957,null,A5,2017-03-21,WL,1500
10070,Ahmedabad,Delhi,1224150169,12957,null,A5,2017-03-21,WL,2000
10071,Ahmedabad,Ajmer,4953537978,12957,1,C1,2017-03-21,CNF,1300
10072,Ahmedabad,Ajmer,7091294758,12957,2,C1,2017-03-21,CNF,1300
10073,Ahmedabad,Ajmer,4156827989,12957,3,C1,2017-03-21,CNF,1300
10074,Ahmedabad,Ajmer,3282595155,12957,4,C1,2017-03-21,CNF,1300
10075,Abu road,Ajmer,9291557237,12957,6,C1,2017-03-21,CNF,1000
10076,Abu road,Ajmer,4409167442,12957,5,C1,2017-03-21,CNF,1000
10077,Ahmedabad,Jaipur,6606493252,12957,7,C1,2017-03-21,CNF,1800
10078,Ahmedabad,Jaipur,6721907688,12957,8,C1,2017-03-21,CNF,1800
10079,Ahmedabad,Jaipur,887140752,12957,9,C1,2017-03-21,CNF,1800
10080,Ahmedabad,Jaipur,227321788,12957,10,C1,2017-03-21,CNF,1800
10081,Ahmedabad,Ajmer,7564635384,12957,1,C2,2017-03-21,CNF,1000
10082,Ahmedabad,Ajmer,5927463021,12957,2,C2,2017-03-21,CNF,1000
10083,Ahmedabad,Ajmer,9809354470,12957,3,C2,2017-03-21,CNF,1000
10084,Ajmer,Jaipur,4215882605,12957,3,C2,2017-03-21,CNF,600
10085,Ahmedabad,Ajmer,1813678869,12957,5,C2,2017-03-21,CNF,1000
10086,Ahmedabad,Delhi,8077772190,12957,6,C2,2017-03-21,CNF,2500
10087,Ahmedabad,Ajmer,4919040214,12957,7,C2,2017-03-21,CNF,1000
10088,Ahmedabad,Delhi,4614925686,12957,8,C2,2017-03-21,CNF,2500
10089,Ahmedabad,Delhi,881821522,12957,9,C2,2017-03-21,CNF,2500
10090,Ahmedabad,Delhi,6120693166,12957,10,C2,2017-03-21,CNF,2500
10091,Mumbai,Ahmedabad,9404286586,12267,1,A2,2017-03-21,CNF,2000
10092,Mumbai,Ahmedabad,6060474859,12267,2,A2,2017-03-21,CNF,2000
10093,Mumbai,Ahmedabad,9023874556,12267,3,A2,2017-03-21,CNF,2000
10094,Mumbai,Ahmedabad,3475758166,12267,4,A2,2017-03-21,CNF,2000
10095,Mumbai,Ahmedabad,3398316231,12267,5,A2,2017-03-21,CNF,2000
10096,Mumbai,Ahmedabad,9030997605,12267,6,A2,2017-03-21,CNF,2000
10097,Mumbai,Ahmedabad,7169864608,12267,1,A3,2017-03-21,CNF,1500
10098,Mumbai,Ahmedabad,7452930149,12267,2,A3,2017-03-21,CNF,1500
10099,Mumbai,Ahmedabad,8736391577,12267,3,A3,2017-03-21,CNF,1500
10100,Mumbai,Ahmedabad,4326332960,12267,4,A3,2017-03-21,CNF,1500
10101,Mumbai,Ahmedabad,5599894010,12267,5,A3,2017-03-21,CNF,1500
10102,Mumbai,Ahmedabad,5157502477,12267,6,A3,2017-03-21,CNF,1500
10103,Mumbai,Ahmedabad,3223238277,12267,7,A3,2017-03-21,CNF,1500
10104,Mumbai,Ahmedabad,6318423333,12267,8,A3,2017-03-21,CNF,1500
10105,Mumbai,Ahmedabad,1038789582,12267,1,A3,2017-03-21,CNF,1500
10106,Mumbai,Ahmedabad,5975164706,12267,2,A3,2017-03-21,CNF,1500
10107,Mumbai,Ahmedabad,8705371730,12267,3,A3,2017-03-21,CNF,1500
10108,Mumbai,Ahmedabad,7857866534,12267,4,A3,2017-03-21,CNF,1500
10109,Mumbai,Ahmedabad,6464210235,12267,5,A3,2017-03-21,CNF,1500
10110,Mumbai,Ahmedabad,1016077967,12267,6,A3,2017-03-21,CNF,1500
10111,Mumbai,Ahmedabad,344892203,12267,7,A3,2017-03-21,CNF,1500
10112,Mumbai,Ahmedabad,3638296136,12267,8,A3,2017-03-21,CNF,1500
10113,Mumbai,Ahmedabad,8044484614,12267,1,A4,2017-03-21,CNF,1500
10114,Mumbai,Ahmedabad,4292235655,12267,2,A4,2017-03-21,CNF,1500
10115,Mumbai,Ahmedabad,3896008130,12267,3,A4,2017-03-21,CNF,1500
10116,Mumbai,Ahmedabad,3534236897,12267,4,A4,2017-03-21,CNF,1500
10117,Mumbai,Ahmedabad,392137360,12267,5,A4,2017-03-21,CNF,1500
10118,Mumbai,Ahmedabad,7306267245,12267,6,A4,2017-03-21,CNF,1500
10119,Mumbai,Ahmedabad,3671004252,12267,7,A4,2017-03-21,CNF,1500
10120,Mumbai,Ahmedabad,8123776656,12267,8,A4,2017-03-21,CNF,1500
10121,Mumbai,Ahmedabad,2359424161,12267,9,A4,2017-03-21,CNF,1500
10122,Mumbai,Ahmedabad,4953775661,12267,10,A4,2017-03-21,CNF,1500
10123,Mumbai,Ahmedabad,8810767290,12267,11,A4,2017-03-21,CNF,1500
10124,Mumbai,Ahmedabad,8415323447,12267,12,A4,2017-03-21,CNF,1500
10125,Mumbai,Ahmedabad,3961428058,12267,1,A5,2017-03-21,CNF,1200
10126,Mumbai,Ahmedabad,6036650104,12267,2,A5,2017-03-21,CNF,1200
10127,Mumbai,Ahmedabad,9345953494,12267,3,A5,2017-03-21,CNF,1200
10128,Mumbai,Ahmedabad,1700788457,12267,4,A5,2017-03-21,CNF,1200
10129,Mumbai,Ahmedabad,8169564724,12267,5,A5,2017-03-21,CNF,1200
10130,Mumbai,Ahmedabad,6821207960,12267,6,A5,2017-03-21,CNF,1200
10131,Mumbai,Ahmedabad,3864960713,12267,7,A5,2017-03-21,CNF,1200
10132,Mumbai,Ahmedabad,9997389430,12267,8,A5,2017-03-21,CNF,1200
10133,Mumbai,Ahmedabad,5715337689,12267,9,A5,2017-03-21,CNF,1200
10134,Mumbai,Ahmedabad,2536690671,12267,10,A5,2017-03-21,CNF,1200
10135,Mumbai,Ahmedabad,7386904648,12267,11,A5,2017-03-21,CNF,1200
10136,Mumbai,Ahmedabad,9605695351,12267,12,A5,2017-03-21,CNF,1200
10137,Mumbai,Ahmedabad,9337315141,12267,1,A1,2017-03-21,CNF,900
10138,Mumbai,Ahmedabad,4581501653,12267,2,A1,2017-03-21,CNF,900
10139,Mumbai,Ahmedabad,4320067406,12267,3,A1,2017-03-21,CNF,900
10140,Mumbai,Ahmedabad,8301230112,12267,4,A1,2017-03-21,CNF,900
10141,Mumbai,Ahmedabad,960144504,12267,5,A1,2017-03-21,CNF,900
10142,Mumbai,Ahmedabad,6713762917,12267,6,A1,2017-03-21,CNF,900
10143,Mumbai,Ahmedabad,4087964400,12267,7,A1,2017-03-21,CNF,900
10144,Mumbai,Ahmedabad,2490800335,12267,8,A1,2017-03-21,CNF,900
10145,Mumbai,Ahmedabad,672057763,12267,9,A1,2017-03-21,CNF,900
10146,Mumbai,Ahmedabad,5260130791,12267,10,A1,2017-03-21,CNF,900
10147,Mumbai,Ahmedabad,9431866913,12267,null,A2,2017-03-21,WL,1500
10148,Mumbai,Ahmedabad,7335214447,12267,null,A2,2017-03-21,WL,1500
10149,Mumbai,Ahmedabad,4932698662,12267,null,A4,2017-03-21,WL,1200
10150, Mumbai central,Ahmedabad,372402896,12009,1,A1,2017-04-06,CNF,1000
10151, Mumbai central,Ahmedabad,7512248326,12009,2,A1,2017-04-06,CNF,1000
10152, Mumbai central,Surat,725071277,12009,3,A1,2017-04-06,CNF,605
10153,Surat,Ahmedabad,8862946865,12009,3,A1,2017-04-06,CNF,610
10154, Mumbai central,Surat,2769461332,12009,4,A1,2017-04-06,CNF,605
10155,Surat,Ahmedabad,5847819435,12009,4,A1,2017-04-06,CNF,610
10156, Mumbai central,Ahmedabad,7320345344,12009,5,A1,2017-04-06,CNF,1000
10157, Mumbai central,Surat,3123037352,12009,6,A1,2017-04-06,CNF,650
10158,Surat,Vadodara,7135198219,12009,6,A1,2017-04-06,CNF,345
10159,Vadodara,Ahmedabad,9851753633,12009,6,A1,2017-04-06,CNF,455
10160, Mumbai central,Surat,7788714242,12009,7,A1,2017-04-06,CNF,605
10161,Surat,Nadiad,1048144342,12009,7,A1,2017-04-06,CNF,555
10162, Mumbai central,Nadiad,957991640,12009,8,A1,2017-04-06,CNF,945
10163, Mumbai central,Vadodara,2172944879,12009,9,A1,2017-04-06,CNF,750
10164,Vadodara,Nadiad,2394138556,12009,9,A1,2017-04-06,CNF,450
10165, Mumbai central,Ahmedabad,1137826980,12009,10,A1,2017-04-06,CNF,1000
10166, Mumbai central,Vadodara,9552513312,12009,1,A2,2017-04-06,CNF,750
10167,Vadodara,Ahmedabad,4250270905,12009,1,A2,2017-04-06,CNF,455
10168, Mumbai central,Vadodara,4906499028,12009,2,A2,2017-04-06,CNF,750
10169,Vadodara,Ahmedabad,7352288596,12009,2,A2,2017-04-06,CNF,455
10170, Mumbai central,Ahmedabad,2306831952,12009,3,A2,2017-04-06,CNF,1000
10171, Mumbai central,Nadiad,7622386118,12009,4,A2,2017-04-06,CNF,945
10172, Mumbai central,Nadiad,6762273279,12009,5,A2,2017-04-06,CNF,945
10173, Mumbai central,Nadiad,7937756892,12009,6,A2,2017-04-06,CNF,945
10174, Mumbai central,Ahmedabad,907759757,12009,7,A2,2017-04-06,CNF,1000
10175, Mumbai central,Ahmedabad,2251478228,12009,8,A2,2017-04-06,CNF,1000
10176,Vadodara,Nadiad,1855392351,12009,9,A2,2017-04-06,CNF,450
10177,Nadiad,Ahmedabad,2334075449,12009,9,A2,2017-04-06,CNF,150
10178, Mumbai central,Surat,8359055240,12009,10,A2,2017-04-06,CNF,605
10179,Surat,Nadiad,4209403829,12009,10,A2,2017-04-06,CNF,555
10180, Mumbai central,Ahmedabad,2764606680,12009,1,A3,2017-04-06,CNF,1000
10181, Mumbai central,Nadiad,2636900460,12009,2,A3,2017-04-06,CNF,945
10182, Mumbai central,Nadiad,9056801635,12009,3,A3,2017-04-06,CNF,945
10183, Mumbai central,Surat,3270147937,12009,4,A3,2017-04-06,CNF,605
10184,Surat,Nadiad,4814867258,12009,4,A3,2017-04-06,CNF,555
10185, Mumbai central,Surat,5365367407,12009,5,A3,2017-04-06,CNF,605
10186,Surat,Vadodara,9121529692,12009,5,A3,2017-04-06,CNF,345
10187,Vadodara,Nadiad,9329455921,12009,5,A3,2017-04-06,CNF,450
10188,Nadiad,Ahmedabad,4330862422,12009,5,A3,2017-04-06,CNF,150
10189, Mumbai central,Nadiad,826711712,12009,6,A3,2017-04-06,CNF,945
10190, Mumbai central,Ahmedabad,1453609346,12009,7,A3,2017-04-06,CNF,1000
10191, Mumbai central,Ahmedabad,6682828519,12009,8,A3,2017-04-06,CNF,1000
10192, Mumbai central,Surat,1587572408,12009,9,A3,2017-04-06,CNF,605
10193,Surat,Vadodara,1319065589,12009,9,A3,2017-04-06,CNF,345
10194, Mumbai central,Surat,4524328637,12009,10,A3,2017-04-06,CNF,605
10195, Mumbai central,Ahmedabad,5454958712,12009,null,A3,2017-04-06,WL,1000
10196, Mumbai central,Ahmedabad,2549782411,12009,null,A3,2017-04-06,WL,1000
10197, Mumbai central,Surat,4821420576,12009,null,A2,2017-04-06,WL,605
10198, Mumbai central,Ahmedabad,2429989718,12009,1,A4,2017-04-06,CNF,2000
10199, Mumbai central,Vadodara,7207315787,12009,2,A4,2017-04-06,CNF,1500
10200, Mumbai central,Nadiad,5799755083,12009,3,A4,2017-04-06,CNF,1890
10201, Mumbai central,Surat,7506533603,12009,4,A4,2017-04-06,CNF,1210
10202,Surat,Ahmedabad,4083790688,12009,4,A4,2017-04-06,CNF,1220
10203, Mumbai central,Surat,825465543,12009,5,A4,2017-04-06,CNF,1210
10204,Surat,Vadodara,9713718918,12009,5,A4,2017-04-06,CNF,700
10205,Nadiad,Ahmedabad,1544854776,12009,6,A4,2017-04-06,CNF,300
10206, Mumbai central,Ahmedabad,8215406807,12009,null,A4,2017-04-06,WL,2000
10207,Secunderabad,Chennai,7499776383,12604,1,A1,2017-04-07,CNF,2550
10208,Secunderabad,Chennai,2812783711,12604,2,A1,2017-04-07,CNF,2550
10209,Secunderabad,Tenali,176326357,12604,3,A1,2017-04-07,CNF,2245
10210,Tenali,Chennai,6288656745,12604,3,A1,2017-04-07,CNF,1635
10211,Tenali,Kavali,8725145338,12604,3,A1,2017-04-07,CNF,1235
10212,Secunderabad,Tenali,2835639810,12604,1,A2,2017-04-07,CNF,825
10213,Tenali,Nidubrolu,8518153014,12604,1,A2,2017-04-07,CNF,740
10214,Nidubrolu,Chennai,346183251,12604,1,A2,2017-04-07,CNF,940
10215,Secunderabad,Guntar,981780092,12604,2,A2,2017-04-07,CNF,740
10216,Guntar,Kavali,1176262326,12604,2,A2,2017-04-07,CNF,740
10217,Guntar,Chennai,2955095348,12604,3,A2,2017-04-07,CNF,1025
10218,Guntar,Chennai,7343343601,12604,4,A2,2017-04-07,CNF,1025
10219,Tenali,Chennai,6513731223,12604,5,A2,2017-04-07,CNF,975
10220,Secunderabad,Chennai,8072186056,12604,6,A2,2017-04-07,CNF,1495
10221,Secunderabad,Chennai,8117791556,12604,7,A2,2017-04-07,CNF,1495
10222,Secunderabad,Chennai,5214546833,12604,1,A3,2017-04-07,CNF,1055
10223,Secunderabad,Tenali,5713879179,12604,2,A3,2017-04-07,CNF,825
10224,Tenali,Chennai,1076020608,12604,2,A3,2017-04-07,CNF,695
10225,Secunderabad,Kavali,7794044176,12604,3,A3,2017-04-07,CNF,785
10226,Secunderabad,Kavali,9493539289,12604,4,A3,2017-04-07,CNF,785
10227,Guntar,Kavali,4868309714,12604,5,A3,2017-04-07,CNF,535
10228,Guntar,Nidubrolu,6235710487,12604,6,A3,2017-04-07,CNF,535
10229,Nidubrolu,Chennai,7629884376,12604,6,A3,2017-04-07,CNF,670
10230,Secunderabad,Nidubrolu,2595918092,12604,7,A3,2017-04-07,CNF,615
10231,Nidubrolu,Chennai,1630750790,12604,8,A3,2017-04-07,CNF,670
10232,Secunderabad,Chennai,2773264405,12604,9,A3,2017-04-07,CNF,1055
10233,Secunderabad,Chennai,3209102971,12604,10,A3,2017-04-07,CNF,1055
10234,Tenali,Kavali,8398539556,12604,11,A3,2017-04-07,CNF,535
10235,Tenali,Nidubrolu,6222971168,12604,12,A3,2017-04-07,CNF,535
10236,Secunderabad,chennai,91898682,12604,null,A3,2017-04-07,WL,1055
10237,Tenali,Chennai,292324224,12604,null,A3,2017-04-07,WL,695
10238,Guntar,Chennai,6014600446,12604,1,S1,2017-04-07,CNF,285
10239,Secunderabad,Chennai,1069160858,12604,2,S1,2017-04-07,CNF,400
10240,Secunderabad,Guntar,5711721799,12604,3,S1,2017-04-07,CNF,220
10241,Guntar,Nidubrolu,6456332386,12604,3,S1,2017-04-07,CNF,170
10242,Guntar,Chennai,288178297,12604,4,S1,2017-04-07,CNF,285
10243,Guntar,Chennai,7245212277,12604,5,S1,2017-04-07,CNF,285
10244,Secunderabad,Chennai,8434541203,12604,6,S1,2017-04-07,CNF,400
10245,Secunderabad,Chennai,3063494247,12604,7,S1,2017-04-07,CNF,400
10246,Nidubrolu,Chennai,9124669796,12604,8,S1,2017-04-07,CNF,265
10247,Guntar,Tenali,1508303883,12604,9,S1,2017-04-07,CNF,170
10248,Tenali,Chennai,3819611099,12604,9,S1,2017-04-07,CNF,270
10249,Tenali,Chennai,4418544693,12604,10,S1,2017-04-07,CNF,270
10250,Secunderabad,Tenali,3572055400,12604,11,S1,2017-04-07,CNF,235
10251,Secunderabad,Kavali,2512599188,12604,12,S1,2017-04-07,CNF,305
10252,Secunderabad,Kavali,4626092947,12604,13,S1,2017-04-07,CNF,305
10253,Secunderabad,Guntar,1293710858,12604,14,S1,2017-04-07,CNF,220
10254,Guntar,Tenali,5824703997,12604,14,S1,2017-04-07,CNF,170
10255,Tenali,Kavali,4595119337,12604,15,S1,2017-04-07,CNF,170
10256,Tenali,Chennai,6177424503,12604,1,S2,2017-04-07,CNF,270
10257,Kavali,Chennai,8686356590,12604,12,S1,2017-04-07,CNF,200
10258,Kavali,Chennai,3397785641,12604,13,S1,2017-04-07,CNF,200
10259,Guntar,Chennai,9037811530,12604,2,S2,2017-04-07,CNF,285
10260,Secunderabad,Chennai,82990913,12604,3,S2,2017-04-07,CNF,400
10261,Secunderabad,Chennai,2054200681,12604,4,S2,2017-04-07,CNF,400
10262,Secunderabad,Chennai,1699764870,12604,5,S2,2017-04-07,CNF,400
10263,Secunderabad,Tenali,3052208495,12604,1,S2,2017-04-07,CNF,235
10264,Secunderabad,Guntar,1496886781,12604,6,S2,2017-04-07,CNF,220
10265,Guntar,Chennai,644125747,12604,6,S2,2017-04-07,CNF,285
10266,Guntar,Tenali,2728314179,12604,7,S2,2017-04-07,CNF,170
10267,Tenali,Kavali,4628270100,12604,7,S2,2017-04-07,CNF,170
10268,Kavali,Chennai,3090846009,12604,7,S2,2017-04-07,CNF,200
10269,Guntar,Kavali,1575981138,12604,9,S2,2017-04-07,CNF,170
10270,Guntar,Kavali,4762012039,12604,10,S2,2017-04-07,CNF,170
10271,Kavali,Chennai,1369832044,12604,10,S2,2017-04-07,CNF,200
10272,Secunderabad,Nidubrolu,48733095,12604,11,S2,2017-04-07,CNF,240
10273,Nidubrolu,Chennai,6098758521,12604,11,S2,2017-04-07,CNF,265
10274,Guntar,Nidubrolu,2186245947,12604,12,S2,2017-04-07,CNF,170
10275,Nidubrolu,Chennai,6727683692,12604,12,S2,2017-04-07,CNF,265
10276,Secunderabad,Chennai,7018233885,12604,13,S2,2017-04-07,CNF,400
10277,Secunderabad,Tenali,8535480356,12604,14,S2,2017-04-07,CNF,235
10278,Tenali,chennai,1214974668,12604,14,S2,2017-04-07,CNF,270
10279,Secunderabad,Chennai,3297010791,12604,15,S2,2017-04-07,CNF,400
10280,Secunderabad,Chennai,4177232520,12604,15,S2,2017-04-07,CNF,400
10281,Secunderabad,Kavali,6573039370,12604,1,S3,2017-04-07,CNF,305
10282,Secunderabad,Chennai,1065133881,12604,2,S3,2017-04-07,CNF,400
10283,Secunderabad,Tenali,7759000797,12604,3,S3,2017-04-07,CNF,235
10284,Secunderabad,Kavali,3375722317,12604,4,S3,2017-04-07,CNF,305
10285,Secunderabad,Nidubrolu,7073887265,12604,5,S3,2017-04-07,CNF,240
10286,Tenali,Kavali,5373129377,12604,6,S3,2017-04-07,CNF,170
10287,Kavali,Chennai,1353858898,12604,6,S3,2017-04-07,CNF,200
10288,Secunderabad,Kavali,7431362100,12604,7,S3,2017-04-07,CNF,305
10289,Secunderabad,Tenali,2459737940,12604,1,C1,2017-04-07,CNF,220
10290,Secunderabad,Tenali,4015281216,12604,2,C1,2017-04-07,CNF,220
10291,Secunderabad,Tenali,7651644811,12604,3,C1,2017-04-07,CNF,220
10292,Secunderabad,Guntar,8761848993,12604,4,C1,2017-04-07,CNF,200
10293,Guntar,Tenali,3612196897,12604,4,C1,2017-04-07,CNF,150
10294,Guntar,Nidubrolu,5209040371,12604,6,C1,2017-04-07,CNF,150
10295,Nidubrolu,Kavali,2344365518,12604,6,C1,2017-04-07,CNF,150
10296,Kavali,Chennai,9460811184,12604,6,C1,2017-04-07,CNF,180
10297,Kavali,Chennai,4626854135,12604,7,C1,2017-04-07,CNF,180
10298,Nidubrolu,Chennai,7706566784,12604,8,C1,2017-04-07,CNF,240
10299,Nidubrolu,Chennai,5369022824,12604,9,C1,2017-04-07,CNF,240
10300,Tenali,Chennai,1099777547,12604,10,C1,2017-04-07,CNF,255
10310,New Delhi,Chandigarh,5928011009,12045,1,A1,2017-04-08,CNF,640
10311,New Delhi,Ambala Cantt,4552067506,12045,2,A1,2017-04-08,CNF,560
10312,Sonipat,Karnal,9716524113,12045,3,A1,2017-04-08,CNF,350
10313,Karnal,Chandigarh,7756968628,12045,3,A1,2017-04-08,CNF,495
10314,New Delhi,Karnal,8303784251,12045,4,A1,2017-04-08,CNF,470
10315,Karnal,Chandigarh,9654592506,12045,4,A1,2017-04-08,CNF,495
10316,New Delhi,Chandigarh,8396017625,12045,5,A1,2017-04-08,CNF,640
10317,New Delhi,Karnal,739270496,12045,6,A1,2017-04-08,CNF,470
10318,New Delhi,Karnal,8461725238,12045,7,A1,2017-04-08,CNF,470
10319,Sonipat,Chandigarh,7685812973,12045,8,A1,2017-04-08,CNF,590
10320,New Delhi,Chandigarh,865643115,12045,null,A1,2017-04-08,WL,640
10321,New Delhi,Ambala Cantt,4932854041,12045,null,A1,2017-04-08,WL,560
10322,New Delhi,Ambala Cantt,5749329359,12045,1,A2,2017-04-08,CNF,560
10323,New Delhi,Chandigarh,781439394,12045,2,A2,2017-04-08,CNF,640
10324,New Delhi,Chandigarh,215759080,12045,3,A2,2017-04-08,CNF,640
10325,Sonipat,Chandigarh,7413730489,12045,4,A2,2017-04-08,CNF,590
10326,Sonipat,Chandigarh,897922371,12045,5,A2,2017-04-08,CNF,590
10327,Sonipat,Karnal,9390452344,12045,6,A2,2017-04-08,CNF,350
10328,New Delhi,Karnal,1584671097,12045,7,A2,2017-04-08,CNF,470
10329,New Delhi,Karnal,4558961631,12045,8,A2,2017-04-08,CNF,470
10330,New Delhi,Sonipat,188906164,12045,9,A2,2017-04-08,CNF,270
10331,New Delhi,Chandigarh,1912081815,12045,10,A2,2017-04-08,CNF,640
10332,Sonipat,Chandigarh,7776829905,12045,9,A2,2017-04-08,CNF,590
10333,Karnal,Chandigarh,4489887173,12045,8,A2,2017-04-08,CNF,495
10334,New Delhi,Ambala Cantt,3127961398,12045,null,A2,2017-04-08,WL,560
10335,New Delhi,Karnal,7338752535,12045,1,A3,2017-04-08,CNF,470
10336,Karnal,Chandigarh,3401012679,12045,1,A3,2017-04-08,CNF,495
10337,Sonipat,Chandigarh,7884709019,12045,2,A3,2017-04-08,CNF,590
10338,Karnal,Ambala Cantt,9291677807,12045,3,A3,2017-04-08,CNF,400
10339,karnal,Chandigarh,7528999181,12045,4,A3,2017-04-08,CNF,495
10340,New Delhi,Chandigarh,3155157225,12045,5,A3,2017-04-08,CNF,640
